makespan,energy_cost_eur
200.0,118.29674999999999
201.0,117.71726999999998
202.0,117.53373000000002
203.0,117.52982
206.0,117.46652999999998
207.0,117.03683
208.0,116.99375
210.0,116.83323000000001
212.0,116.80663
215.0,116.52443000000001
217.0,116.49429000000002
220.0,116.45445000000002
222.0,116.41184000000001
224.0,116.38611000000002
228.0,116.33774000000003
233.0,116.23073000000005
237.0,116.17798000000006
239.0,116.15129000000006
