Start date,End date,Belgium [€/MWh] Original resolutions
Feb 28, 2022 2:00 PM,141.17
Feb 28, 2022 3:00 PM,198.24
Feb 28, 2022 4:00 PM,253.79
Feb 28, 2022 5:00 PM,280.56
Feb 28, 2022 6:00 PM,300
Feb 28, 2022 7:00 PM,282.19
Feb 28, 2022 8:00 PM,207.32
Feb 28, 2022 9:00 PM,137.24
Feb 28, 2022 10:00 PM,163.3
Feb 28, 2022 11:00 PM,140.09
