Start date,End date,Belgium [€/MWh] Original resolutions
Feb 6, 2022 12:00 PM,85.2
Feb 6, 2022 1:00 PM,90.23
Feb 6, 2022 2:00 PM,70.05
Feb 6, 2022 3:00 PM,70.02
Feb 6, 2022 4:00 PM,94.93
Feb 6, 2022 5:00 PM,116.52
Feb 6, 2022 6:00 PM,125
Feb 6, 2022 7:00 PM,118.7
Feb 6, 2022 8:00 PM,102.05
Feb 6, 2022 9:00 PM,90.35
Feb 6, 2022 10:00 PM,112.47
Feb 6, 2022 11:00 PM,94.96
Feb 7, 2022 12:00 AM,20.04
Feb 7, 2022 1:00 AM,15.91
Feb 7, 2022 2:00 AM,14.27
Feb 7, 2022 3:00 AM,10.08
Feb 7, 2022 4:00 AM,13.8
Feb 7, 2022 5:00 AM,21
Feb 7, 2022 6:00 AM,60.9
Feb 7, 2022 7:00 AM,128.07
Feb 7, 2022 8:00 AM,130.17
Feb 7, 2022 9:00 AM,127.26
Feb 7, 2022 10:00 AM,95
Feb 7, 2022 11:00 AM,94.96
Feb 7, 2022 12:00 PM,70.43
Feb 7, 2022 1:00 PM,30.83
Feb 7, 2022 2:00 PM,22.05
Feb 7, 2022 3:00 PM,80.04
Feb 7, 2022 4:00 PM,108.08
Feb 7, 2022 5:00 PM,148.74
Feb 7, 2022 6:00 PM,169.94
Feb 7, 2022 7:00 PM,160.1
Feb 7, 2022 8:00 PM,155.01
Feb 7, 2022 9:00 PM,129.64
Feb 7, 2022 10:00 PM,123.16
Feb 7, 2022 11:00 PM,102.74
Feb 8, 2022 12:00 AM,121.96
Feb 8, 2022 1:00 AM,112.08
Feb 8, 2022 2:00 AM,107.86
Feb 8, 2022 3:00 AM,104.97
Feb 8, 2022 4:00 AM,104.12
Feb 8, 2022 5:00 AM,109.32
Feb 8, 2022 6:00 AM,134.05
Feb 8, 2022 7:00 AM,128.54
Feb 8, 2022 8:00 AM,146.16
Feb 8, 2022 9:00 AM,131.13
Feb 8, 2022 10:00 AM,120.06
Feb 8, 2022 11:00 AM,125.35
Feb 8, 2022 12:00 PM,122.14
Feb 8, 2022 1:00 PM,119.41
Feb 8, 2022 2:00 PM,123.95
Feb 8, 2022 3:00 PM,149
Feb 8, 2022 4:00 PM,161.94
Feb 8, 2022 5:00 PM,196.98
Feb 8, 2022 6:00 PM,209.56
Feb 8, 2022 7:00 PM,199.95
Feb 8, 2022 8:00 PM,182.94
Feb 8, 2022 9:00 PM,139.82
Feb 8, 2022 10:00 PM,132.71
Feb 8, 2022 11:00 PM,123.39
Feb 9, 2022 12:00 AM,115.08
Feb 9, 2022 1:00 AM,114.87
Feb 9, 2022 2:00 AM,118.79
Feb 9, 2022 3:00 AM,109.58
Feb 9, 2022 4:00 AM,116.95
Feb 9, 2022 5:00 AM,119.34
Feb 9, 2022 6:00 AM,139.38
Feb 9, 2022 7:00 AM,177.16
Feb 9, 2022 8:00 AM,180.64
Feb 9, 2022 9:00 AM,179.5
Feb 9, 2022 10:00 AM,127.06
Feb 9, 2022 11:00 AM,122.01
Feb 9, 2022 12:00 PM,123.35
Feb 9, 2022 1:00 PM,136.91
Feb 9, 2022 2:00 PM,149.42
Feb 9, 2022 3:00 PM,179.92
Feb 9, 2022 4:00 PM,189.95
Feb 9, 2022 5:00 PM,219
Feb 9, 2022 6:00 PM,249.12
Feb 9, 2022 7:00 PM,257.28
Feb 9, 2022 8:00 PM,231.79
Feb 9, 2022 9:00 PM,215.81
Feb 9, 2022 10:00 PM,211.79
Feb 9, 2022 11:00 PM,196.7
Feb 10, 2022 12:00 AM,200.46
